rowdef,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1460,121,1457,753,5733,950,449,199,42,4927,2253,150,357,1571,1185,561,589,1230,1142,215,777,528,1561,559,958,1296,243,304,508,170,962,605,1573,2079,160,1677,1016,714,1751,76,1466,160,1459,5913,446,77,990,855,372,803,170,55572
Female,717,68,822,395,2869,470,230,84,20,2531,1227,96,186,847,543,257,248,653,621,110,387,274,890,295,488,703,110,130,284,93,438,353,766,1065,69,901,467,354,880,33,709,67,805,2911,268,38,498,395,178,475,99,28417
Not Reported,0,3,7,1,19,2,0,0,0,12,1,0,0,0,140,48,0,2,1,1,10,7,14,17,0,0,0,9,2,0,0,2,0,0,0,0,2,5,1,0,0,2,1,1,0,0,102,5,0,0,0,417
Unknown,14,3,72,8,178,12,22,4,3,155,30,5,2,27,17,1,4,9,23,0,5,8,33,11,6,27,1,1,13,0,19,11,37,24,0,28,16,5,31,0,24,0,27,145,7,0,3,5,2,12,0,1090
Total,2191,195,2358,1157,8799,1434,701,287,65,7625,3511,251,545,2445,1885,867,841,1894,1787,326,1179,817,2498,882,1452,2026,354,444,807,263,1419,971,2376,3168,229,2606,1501,1078,2663,109,2199,229,2292,8970,721,115,1593,1260,552,1290,269,85496
