rowdef,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1072,112,1147,712,4989,783,376,199,33,3800,1685,147,243,1349,1122,417,550,931,1069,159,707,497,1312,542,865,1141,248,318,454,110,867,562,1552,1862,202,1376,965,499,1756,57,1183,187,1351,5575,411,75,934,712,383,703,215,48516
Female,595,61,621,364,2468,324,148,128,10,2032,852,68,143,732,454,203,244,478,471,89,316,223,670,247,377,525,124,124,227,76,481,276,794,976,52,796,460,276,777,38,619,83,747,2644,231,35,416,365,175,359,115,24109
Not Reported,4,5,1,0,10,2,0,0,0,17,0,0,0,2,134,31,0,0,2,0,0,10,10,28,2,0,0,12,0,1,1,2,1,0,0,1,3,0,0,0,0,1,0,1,0,0,1,5,0,2,0,289
Unknown,16,1,56,3,152,5,2,1,2,92,18,2,0,18,17,4,4,4,14,1,14,4,37,3,3,19,1,1,14,0,20,14,36,18,1,10,11,3,23,0,8,1,19,104,2,0,9,5,0,5,0,797
Total,1687,179,1825,1079,7619,1114,526,328,45,5941,2555,217,386,2101,1727,655,798,1413,1556,249,1037,734,2029,820,1247,1685,373,455,695,187,1369,854,2383,2856,255,2183,1439,778,2556,95,1810,272,2117,8324,644,110,1360,1087,558,1069,330,73711
