,Highest Blood Alcohol Concentration in Crash,,,,,,,,,
,BAC = 0.00,,BAC = .01--.07,,BAC = .08+,,BAC=.01+,,Total Killed,
State,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
,,,,,,,,,,
Alabama,508,62,48,6,264,32,312,38,820,100
Alaska,45,61,6,9,22,30,29,39,73,100
Arizona,504,65,48,6,199,26,246,32,773,100
Arkansas,301,64,27,6,135,29,162,34,470,100
California,2017,65,171,6,881,28,1052,34,3102,100
Colorado,300,62,26,5,160,33,187,38,488,100
Connecticut,134,54,17,7,97,39,113,46,248,100
Delaware,70,56,3,2,49,39,51,41,124,100
District of Columbia,17,74,1,5,5,21,6,26,23,100
Florida,1686,68,122,5,685,27,807,32,2494,100
Georgia,834,72,47,4,278,24,326,28,1164,100
Hawaii,60,63,3,3,32,34,35,37,95,100
Idaho,125,67,7,4,53,28,59,32,186,100
Illinois,551,60,52,6,317,34,369,40,924,100
Indiana,501,67,34,5,205,27,239,32,745,100
Iowa,214,67,12,4,93,29,105,33,322,100
Kansas,263,68,18,5,103,27,121,31,385,100
Kentucky,475,71,26,4,171,25,196,29,672,100
Louisiana,435,59,48,6,253,34,300,41,740,100
Maine,81,62,6,4,44,33,49,38,131,100
Maryland,289,65,24,5,130,29,154,35,442,100
Massachusetts,167,47,21,6,133,37,154,43,354,100
Michigan,634,70,51,6,215,24,266,29,901,100
Minnesota,239,66,15,4,106,29,121,33,361,100
Mississippi,399,66,29,5,178,29,207,34,607,100
Missouri,515,67,46,6,204,27,249,33,766,100
Montana,107,56,13,7,73,38,85,44,192,100
Nebraska,146,65,17,8,60,27,77,34,225,100
Nevada,177,61,20,7,93,32,112,39,291,100
New Hampshire,61,64,4,5,30,31,34,36,95,100
New Jersey,355,64,38,7,163,29,201,36,556,100
New Mexico,236,61,28,7,116,30,144,37,386,100
New York,659,63,62,6,317,30,379,36,1041,100
North Carolina,856,67,49,4,378,29,427,33,1284,100
North Dakota,69,51,11,8,55,41,66,49,135,100
Ohio,644,64,45,4,310,31,354,35,1006,100
Oklahoma,488,73,27,4,154,23,181,27,669,100
Oregon,232,65,25,7,100,28,125,35,357,100
Pennsylvania,799,67,51,4,345,29,396,33,1195,100
Rhode Island,34,66,1,1,17,33,17,34,51,100
South Carolina,494,60,51,6,279,34,329,40,823,100
South Dakota,83,61,7,5,46,34,52,38,136,100
Tennessee,648,67,45,5,267,28,312,32,963,100
Texas,1859,53,224,6,1444,41,1668,47,3536,100
Utah,193,76,7,3,56,22,63,24,256,100
Vermont,30,68,5,12,9,20,14,32,44,100
Virginia,446,63,42,6,214,30,256,36,703,100
Washington,292,63,34,7,134,29,168,36,462,100
West Virginia,174,64,12,4,84,31,96,35,272,100
Wisconsin,302,60,36,7,165,33,202,40,506,100
Wyoming,96,64,5,3,48,32,53,36,150,100
USA,20842,64,1762,5,9962,30,11724,36,32744,100
