rowdef,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,1230,87,1315,785,4573,702,386,161,25,3702,1802,199,248,1493,1075,517,604,1073,1077,226,770,533,1366,513,769,1159,295,289,423,141,967,578,1831,1907,269,1632,1021,518,1937,80,1268,196,1478,5327,304,102,1026,669,512,847,183,50190
Female,652,57,681,429,2316,367,201,84,11,1956,934,122,153,733,530,214,288,551,493,118,348,264,729,292,395,613,160,142,236,77,491,295,860,1026,78,848,480,261,920,46,599,104,662,2589,187,58,491,320,200,424,109,25194
Not Reported,21,1,0,1,3,0,1,0,0,39,2,0,0,2,149,5,0,0,0,0,1,10,7,1,0,0,0,14,1,0,0,1,0,0,0,0,3,6,1,0,0,1,0,0,0,0,0,1,0,0,0,271
Unknown,12,0,52,4,116,13,6,4,1,94,16,5,0,35,5,35,4,4,16,0,13,6,20,3,1,11,2,1,3,0,15,10,49,12,0,13,8,1,20,0,19,3,4,120,3,1,13,4,1,2,1,781
Total,1915,145,2048,1219,7008,1082,594,249,37,5791,2754,326,401,2263,1759,771,896,1628,1586,344,1132,813,2122,809,1165,1783,457,446,663,218,1473,884,2740,2945,347,2493,1512,786,2878,126,1886,304,2144,8036,494,161,1530,994,713,1273,293,76436
