,Highest Blood Alcohol Concentration in Crash,,,,,,,,,
,BAC = 0.00,,BAC = .01--.07,,BAC = .08+,,BAC=.01+,,Total Killed,
State,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
,,,,,,,,,,
Alabama,566,65,58,7,240,28,297,34,865,100
Alaska,44,74,1,1,15,25,15,26,59,100
Arizona,528,64,42,5,230,28,272,33,821,100
Arkansas,382,68,31,6,144,26,175,31,560,100
California,1988,67,139,5,829,28,969,33,2966,100
Colorado,302,64,37,8,134,28,170,36,474,100
Connecticut,148,56,13,5,100,38,113,43,264,100
Delaware,67,59,12,10,35,31,47,41,114,100
District of Columbia,11,76,1,3,3,21,4,24,15,100
Florida,1598,66,122,5,709,29,831,34,2431,100
Georgia,836,70,57,5,295,25,353,30,1192,100
Hawaii,67,53,11,8,47,38,58,46,125,100
Idaho,126,68,6,3,52,28,58,32,184,100
Illinois,564,59,68,7,322,34,390,41,956,100
Indiana,516,66,32,4,230,30,262,34,781,100
Iowa,257,70,12,3,96,26,108,30,365,100
Kansas,277,68,21,5,104,26,124,31,405,100
Kentucky,552,74,23,3,169,23,192,26,746,100
Louisiana,456,63,31,4,235,32,266,37,723,100
Maine,101,61,13,8,50,30,63,39,164,100
Maryland,317,62,31,6,163,32,194,38,511,100
Massachusetts,221,58,33,9,129,34,161,42,383,100
Michigan,629,67,49,5,261,28,310,33,940,100
Minnesota,261,66,17,4,114,29,131,33,395,100
Mississippi,366,63,25,4,191,33,216,37,582,100
Missouri,488,59,45,5,283,34,328,40,826,100
Montana,98,48,18,9,89,43,107,52,205,100
Nebraska,124,58,16,7,73,34,88,42,212,100
Nevada,161,62,15,6,85,33,100,38,261,100
New Hampshire,71,65,5,5,32,30,37,35,108,100
New Jersey,378,64,46,8,164,28,210,36,589,100
New Mexico,254,69,14,4,97,26,111,30,366,100
New York,760,64,80,7,340,29,420,36,1180,100
North Carolina,864,67,57,4,372,29,430,33,1299,100
North Dakota,83,49,15,9,72,43,87,51,170,100
Ohio,684,61,45,4,389,35,434,39,1121,100
Oklahoma,469,66,31,4,209,30,240,34,709,100
Oregon,231,69,18,5,88,26,106,31,337,100
Pennsylvania,849,65,53,4,407,31,460,35,1310,100
Rhode Island,31,49,5,8,28,44,33,51,64,100
South Carolina,465,54,48,6,348,40,396,46,863,100
South Dakota,80,60,8,6,44,33,52,39,133,100
Tennessee,674,66,56,5,286,28,341,34,1015,100
Texas,1902,56,211,6,1290,38,1500,44,3408,100
Utah,177,81,8,4,32,15,40,19,217,100
Vermont,49,63,3,3,24,31,26,34,77,100
Virginia,526,68,41,5,209,27,249,32,776,100
Washington,275,63,18,4,143,33,160,37,438,100
West Virginia,235,69,9,3,94,28,103,30,339,100
Wisconsin,379,62,34,6,202,33,236,38,615,100
Wyoming,80,65,2,2,41,33,44,35,123,100
USA,21563,64,1782,5,10336,31,12118,36,33782,100
